url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://library.pvu.vn/tin-tuc/10/quy-dinh-muon-tra--sY0abWZSGUSsXuJRazdCEQ.html,pvu-faculty-loan-policy,Quy định mượn trả tài liệu cho cán bộ giảng viên PVU,faculty,library,borrowing,vi,not-stated,public-source
https://dav.edu.vn/quy-trinh-muon-tra-tai-lieu-4965/,dav-library-loan-process,Quy trình mượn trả tài liệu Học viện Ngoại giao,all,library,borrowing-process,vi,not-stated,public-source
https://dvctt.huaf.edu.vn/xem-quy-trinh/161,huaf-library-loan-process,Quy trình mượn và trả tài liệu Đại học Nông Lâm Huế,all,library,borrowing-process,vi,not-stated,public-source
https://lic.haui.edu.vn/vn/Goc_Tu_Van/goc-tu-van-quy-trinh-muon-tra-tai-lieu-tai-phong-doc-can-luu-y-gi/85417,haui-student-reading-room,Quy trình mượn trả tài liệu tại phòng đọc HaUI,student,library,reading-room,vi,not-stated,public-source
https://asia-vn.edu.vn/en/quy-dinh-muon-tra-sach-asia-university-vietnam/,asia-library-regulations,Quy định đọc mượn trả sách Asia University Vietnam,all,library,borrowing,vi,not-stated,public-source
