doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
asia-library-regulations,data\library_services\asia-library-regulations.md,Quy định mượn trả tài liệu cho sinh viên Asia University Vietnam,https://asia-vn.edu.vn/en/quy-dinh-muon-tra-sach-asia-university-vietnam/,2026-09-19,not-stated,public-source
dav-library-loan-process,data\library_services\dav-library-loan-process.md,Quy trình mượn trả tài liệu Học viện Ngoại giao,https://dav.edu.vn/quy-trinh-muon-tra-tai-lieu-4965/,2026-09-19,not-stated,public-source
haui-student-reading-room,data\library_services\haui-student-reading-room.md,Quy trình mượn trả tài liệu tại phòng đọc HaUI,https://lic.haui.edu.vn/vn/Goc_Tu_Van/goc-tu-van-quy-trinh-muon-tra-tai-lieu-tai-phong-doc-can-luu-y-gi/85417,2026-09-19,not-stated,public-source
huaf-library-loan-process,data\library_services\huaf-library-loan-process.md,Quy trình mượn và trả tài liệu Đại học Nông Lâm Huế,https://dvctt.huaf.edu.vn/xem-quy-trinh/161,2026-09-19,2022-11-09,public-source
pvu-faculty-loan-policy,data\library_services\pvu-faculty-loan-policy.md,Quy định mượn trả tài liệu cho cán bộ giảng viên PVU,https://library.pvu.vn/tin-tuc/10/quy-dinh-muon-tra--sY0abWZSGUSsXuJRazdCEQ.html,2026-09-19,not-stated,public-source
vinuni-faculty-borrowing,data\library_services\vinuni-faculty-borrowing.md,Quyền mượn tài liệu VinUni cho giảng viên,https://policy.vinuni.edu.vn/all-policies/library-policies-for-users/,2026-09-19,POL-LLR-001-V4.0 (2025-07-09),public-source-manual
vinuni-student-borrowing,data\library_services\vinuni-student-borrowing.md,Quyền mượn tài liệu VinUni cho sinh viên,https://policy.vinuni.edu.vn/all-policies/library-policies-for-users/,2026-09-19,POL-LLR-001-V4.0 (2025-07-09),public-source-manual
